,Tweet,Created_at,Positive,Negative,Neutral,Currencies,Tweeted_day_Open,Tweeted_day_High,Tweeted_day_Low,Tweeted_day_Close,Tweeted_day_Volume,Prev_30days_Open,Prev_30days_High,Prev_30days_Low,Prev_30days_Close,Prev_30days_Volume,Next_7days_Open,Next_7days_High,Next_7days_Low,Next_7days_Close,Next_7days_Volume,Next_30days_Open,Next_30days_High,Next_30days_Low,Next_30days_Close,Next_30days_Volume
20,"$paal has no chill.
Absolute beast. https://t.co/MNr5M2f5X2 https://t.co/QdST9PHSWJ",2023-08-08T15:54:48.000Z,0.0,0.239,0.761,PAAL,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.028585344552993774,0.035915106534957886,0.028585344552993774,0.028965147212147713,778512,0.0,0.0,0.0,0.0,0
21,"@CryptoGodJohn Better spend your money on $INJ bigger roi

Few 🤟🤎😄",2023-08-08T15:35:46.000Z,0.225,0.0,0.775,INJ,7.923491954803467,8.21909236907959,7.893619060516357,8.11281681060791,31871262,8.060437202453613,8.445717811584473,8.046660423278809,8.202787399291992,45611505,7.5648112297058105,7.5648112297058105,7.198202133178711,7.227922439575195,36886824,0.0,0.0,0.0,0.0,0
22,"Think $doge Will get teleported by elon soon.

Had a nice correction.  Eyes on this one for the next days https://t.co/OGe4QUnJzT",2023-08-08T15:14:48.000Z,0.128,0.0,0.872,DOGE,0.07342500239610672,0.0753839984536171,0.07321000099182129,0.07498600333929062,305594303,0.065761998295784,0.06629399955272675,0.06533200293779373,0.0654349997639656,146485995,0.07466057687997818,0.07475598901510239,0.07060916721820831,0.07120944559574127,376893184,0.0,0.0,0.0,0.0,0
23,"Gm to the ones aped $PAAL
5 x gainz 🤎

We far from done. However dont forget to lock some profits https://t.co/S3FxUKozGh https://t.co/QdST9PHSWJ",2023-08-08T09:44:24.000Z,0.202,0.0,0.798,PAAL,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.028585344552993774,0.035915106534957886,0.028585344552993774,0.028965147212147713,778512,0.0,0.0,0.0,0.0,0
24,"Anything between  0.05/0.10 is a buy

#AI Day is coming closer and closer.

$OPTI 

@OptimusAI_Token https://t.co/XN4o6jDSBz https://t.co/PVRHdAEH2F",2023-08-07T21:47:56.000Z,0.0,0.0,1.0,OPTI,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
25,"Printing bigtime $Paal
🤟🤎 https://t.co/QdST9PHSWJ",2023-08-07T19:19:30.000Z,0.0,0.0,1.0,PAAL,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
26,"$PAAL new ath.

🤎🤟 https://t.co/5Dqt8pytZ4 https://t.co/QdST9PHSWJ",2023-08-06T19:42:23.000Z,0.0,0.0,1.0,PAAL,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
27,"@CryptoKaduna Holding some $GNS aswell 

Real bullcycle it Will do well",2023-08-06T19:40:00.000Z,0.174,0.0,0.826,GNS,4.606820106506348,4.65798282623291,4.566197872161865,4.581517219543457,3345918,4.156935214996338,4.184819221496582,4.107708930969238,4.176665782928467,3896918,4.8462347984313965,4.89620304107666,4.811477184295654,4.821029186248779,3625503,0.0,0.0,0.0,0.0,0
28,"Comfortble in my lane. Knowing $INJ Will be life changing for manny of you.

Litle patience is all you need

We good fam. https://t.co/C658VSNsqF",2023-08-06T17:57:30.000Z,0.112,0.0,0.888,INJ,7.933891773223877,8.04090404510498,7.869569778442383,7.890099048614502,16876776,7.879176139831543,8.103799819946289,7.8032917976379395,7.961442947387695,40061976,7.663403034210205,7.739165782928467,7.5920867919921875,7.702278137207031,17161156,0.0,0.0,0.0,0.0,0
29,@KAPOTHEGOAT01 $KATA season inbound 🤟🤎,2023-08-05T09:50:11.000Z,0.0,0.0,1.0,KATA,0.00033999999868683517,0.0003859999997075647,0.0003260000084992498,0.00036800000816583633,508207,0.000311999989207834,0.0003209999995306134,0.000295000005280599,0.00030399998649954796,221381,0.0003809999907389283,0.00038400001358240843,0.00037399999564513564,0.000375000003259629,285116,0.0,0.0,0.0,0.0,0
